pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
154.45,-123.49,-90.0,top,A1,,,Pololu_Breakout-16_15.2x20.3mm,Pololu_Breakout_A4988,tht
75.34,-140.29,180.0,bottom,BZ1,,,Indicator_PUI_AI-1440-TWT-24V-2-R,Buzzer,tht
75.27,-120.41,180.0,bottom,BZ2,,,Indicator_PUI_AI-1440-TWT-24V-2-R,Buzzer,tht
107.71,-115.34,0.0,top,J1,,,PinHeader_1x15_P2.54mm_Vertical,Conn_01x15_Socket,tht
60.05,-137.57,0.0,top,J10,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
59.43,-130.89,90.0,top,J11,,,PinHeader_1x06_P2.54mm_Vertical,Conn_01x06_Pin,tht
149.35,-119.89,-90.0,top,J2,,,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04_Pin,tht
99.48,-116.65,90.0,bottom,J3,,,PinSocket_1x04_P2.54mm_Vertical,Conn_01x04_Socket,tht
133.12,-126.465,180.0,top,J4,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
82.72,-115.41,0.0,top,J5,,,PinHeader_1x15_P2.54mm_Vertical,Conn_01x15_Socket,tht
133.12,-135.925,180.0,top,J6,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
113.7675,-125.5,90.0,top,J7,,,USB_A_Connfly_DS1095,USB_A,tht
143.81,-140.1375,0.0,top,J8,,,USB_A_Connfly_DS1095,USB_A,tht
75.07,-151.9,-90.0,top,J9,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
116.97,-137.36,0.0,bottom,SW2,,,Button-6mm-2pin-tht,SW_Push,smt
117.01,-149.31,0.0,bottom,SW3,,,Button-6mm-2pin-tht,SW_Push,smt
89.9,-149.52,0.0,bottom,SW4,,,Button-6mm-2pin-tht,SW_Push,smt
101.32,-149.51,180.0,bottom,SW5,,,Button-6mm-2pin-tht,SW_Push,smt
